Date,BW,Remark
2023/6/25,420,
2023/6/25,570,
2023/6/25,730,
2023/6/25,560,
2023/6/25,900,
2023/7/24,589.3,
2023/7/24,615.1,
2023/7/24,508.7,
2023/7/24,492.3,
2023/7/24,538,
2023/7/24,690.2,
2023/7/24,655.7,
2023/7/24,538.4,
2023/7/24,549,
2023/7/24,409.1,
2023/7/24,540.5,
2023/7/24,493.5,
2023/7/24,465,
2023/7/24,432.1,
2023/7/24,468.4,
2023/7/24,529.4,
2023/7/24,503.8,
2023/7/24,499.7,
2023/7/24,758.4,
2023/7/24,527.4,
2023/7/24,610.1,
2023/7/24,324.8,
2023/7/24,536.4,
2023/7/24,517.3,
2023/7/24,508.1,
2023/7/24,447.7,
2023/7/24,425,
2023/7/24,531,
2023/7/24,633.7,
2023/7/24,528.6,
2023/7/24,501.4,
2023/7/24,520.4,
2023/7/24,517.8,
2023/7/24,478.8,
2023/7/24,581,
2023/7/24,720.9,
2023/7/24,542.7,
2023/7/24,304.3,
2023/7/24,371.8,
2023/7/24,515.4,
2023/7/24,597.9,
2023/7/24,577,
2023/7/24,533.9,
2023/7/24,552.4,
2023/7/24,428.1,
2023/7/24,354.3,
2023/7/24,529.7,
2023/7/24,371.1,
2023/7/24,547.6,
2023/7/24,560.6,
2023/7/24,386.4,
2023/7/24,808.2,
2023/7/24,896.6,
2023/7/24,499.1,
2023/7/24,558.1,
2023/7/24,655,
2023/7/24,498.6,
2023/7/24,591.7,
2023/7/24,711,
2023/7/24,828.1,
2023/7/24,569.1,
2023/7/24,727.5,
2023/7/24,917.5,
2023/7/24,679,
2023/7/24,422,
2023/7/24,406,
2023/7/24,545.5,
2023/7/24,573,
2023/7/24,420,
2023/7/24,485.4,
2023/7/24,627.7,
2023/7/24,651.4,
2023/7/24,537.5,
2023/7/24,534.5,
2023/7/24,534.6,
2023/7/24,710.3,
2023/7/24,812.2,
2023/7/24,624.3,
2023/7/24,515.7,
2023/7/24,633.2,
2023/7/24,756.8,
2023/7/24,475,
2023/7/24,624.6,
2023/7/24,802,
2023/7/24,911,
2023/7/24,617.6,
2023/7/24,645.9,
2023/7/24,776.3,
2023/7/24,522,
2023/7/24,687,
2023/7/24,568,
2023/7/24,412,
2023/7/24,909.1,
2023/7/24,579.1,
2023/7/24,534.4,
2023/7/24,483.7,
2023/7/24,492.9,
2023/7/24,624.6,
2023/7/24,566.9,
2023/7/24,608.3,
2023/7/24,405.5,
2023/7/24,623.9,
2023/7/24,618.1,
2023/7/24,555.2,
2023/7/24,543.1,
2023/7/24,574.3,
2023/7/24,896.7,
2023/7/24,512.9,
2023/7/24,593.5,
2023/7/24,355.9,
2023/7/24,744.4,
